126,1663,852,931,1109,2236,1252,665,1387,1482,1031,843,552,958,849,1343,873,971,896,767,758,571,951,1147,1100,1413,1189,
1523,3607,3113,3599,4344,8433,4222,2580,5243,5317,4321,3358,2340,3682,3583,4112,3198,2954,3893,3101,3286,2265,3789,4560,4269,5430,5104,
867,3001,416,865,1597,4202,962,967,1147,2803,898,723,1124,1057,1563,2633,685,543,1793,1328,1570,1196,781,1059,874,1373,1119,
915,3595,926,468,1628,4807,1076,929,1657,3305,859,854,1386,1112,2106,2932,1040,605,2089,1482,1926,1361,946,998,887,1531,1101,
1152,4311,1600,1663,1480,7027,2102,1562,2458,4068,1670,1379,1472,1644,2194,3371,1570,1114,2449,1794,1974,1582,1738,2121,1764,2625,2214,
2289,8422,4236,4930,6901,8019,5871,3466,6886,7935,5482,4672,3357,4619,4770,6285,4381,3306,5730,4538,4512,3330,5573,6018,6061,6920,6829,
1163,4321,937,1108,2043,5853,770,1284,1281,4205,854,771,1700,1099,2405,3446,880,708,2688,1828,2467,1785,919,1276,973,1515,1159,
738,2689,929,967,1512,3485,1286,561,1624,2604,1277,908,929,1017,1770,2046,974,712,1500,1139,1170,941,1082,1325,1221,1871,1608,
1355,5208,1141,1613,2371,7003,1304,1687,602,4632,947,818,1986,1420,2855,4236,1371,700,3014,2362,2945,1991,1072,1542,920,1704,1102,
1565,5218,2808,3288,4146,8166,4226,2599,4642,2637,4138,3177,2187,3344,3674,3946,2899,3571,3284,3008,2801,2033,3659,3948,4219,4700,5097,
1082,4357,933,822,1635,5523,882,1240,882,4019,0,477,1630,816,2516,3715,832,429,2444,1717,2415,1809,875,938,497,997,530,
810,3331,719,865,1395,4560,822,886,842,3098,508,0,1225,764,1988,2805,825,354,2005,1465,1807,1381,650,830,468,946,526,
579,2404,1201,1283,1502,3378,1820,866,1951,2075,1591,1250,355,1223,1078,1616,1189,999,1057,968,996,851,1411,1627,1740,2366,2134,
920,3593,1024,1117,1613,4529,1058,1036,1393,3347,827,743,1224,462,1924,2937,1019,601,1998,1570,1710,1409,902,1064,888,1571,1070,
819,3577,1555,2103,2237,4793,2316,1750,2957,3595,2536,2013,1108,1887,860,2539,1660,1611,1766,1560,1634,1308,1936,2416,2590,3348,3167,
1270,4162,2558,3015,3462,6245,3455,1951,4367,4006,3678,2905,1692,2929,2505,2103,2636,2187,2680,2380,2321,1712,2857,3767,3721,4582,4527,
900,3090,705,947,1567,4524,871,965,1359,2850,835,730,1160,1062,1742,2622,446,603,1998,1526,1695,1291,837,1095,962,1517,1103,
1006,3013,535,595,1134,3194,653,726,695,3417,433,365,963,541,1601,2099,631,0,1532,1167,1851,1821,570,628,452,718,578,
918,3790,1850,2059,2398,5762,2796,1500,3049,3354,2357,1957,1117,1903,1712,2830,1917,1570,998,1641,1817,1386,2189,2703,2615,3466,3120,
644,3042,1333,1438,1794,4278,1898,1158,2437,3000,1701,1453,976,1519,1565,2338,1423,1166,1703,594,1487,1162,1558,1979,1795,2397,2117,
791,3411,1535,1791,1980,4507,2323,1252,3141,2959,2393,1743,982,1723,1654,2284,1674,1872,1711,1508,805,1213,1824,2303,2589,3207,3121,
579,2346,1218,1360,1605,3351,1763,979,2031,2010,1899,1392,826,1355,1204,1689,1309,1776,1381,1172,1181,393,1283,1434,1771,2141,2227,
988,3829,796,908,1610,5507,857,1011,1174,3921,798,688,1405,895,1889,2836,811,573,2234,1566,1827,1291,369,1040,869,1439,1072,
1117,4475,1001,1018,2158,6040,1314,1317,1492,3964,962,792,1662,1045,2509,3647,1118,641,2567,1985,2379,1434,1017,475,908,1497,1096,
1058,4388,837,858,1821,6038,916,1225,946,4101,501,447,1768,899,2625,3694,890,469,2540,1777,2440,1905,879,988,0,1021,570,
1450,5354,1424,1581,2782,6966,1551,1813,1639,4760,990,926,2347,1564,3408,4502,1559,745,3448,2370,3180,2125,1426,1538,1015,587,1144,
1246,5070,1134,1103,2111,7016,1057,1604,1073,5360,505,555,2100,1109,3233,4492,1115,530,3182,2138,3175,2323,997,1120,571,1125,0,
